Gene ID	source_id	Product Description	Gene Type	Input ID
PF3D7_0307900	PF3D7_0307900.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0307900
PF3D7_0308000	PF3D7_0308000.1	DNA polymerase delta small subunit, putative	protein coding gene	PF3D7_0308000
PF3D7_0308100	PF3D7_0308100.1	zinc finger protein, putative	protein coding gene	PF3D7_0308100
PF3D7_0308200	PF3D7_0308200.1	T-complex protein 1 subunit eta	protein coding gene	PF3D7_0308200
PF3D7_0308300	PF3D7_0308300.1	PhIL1-interacting candidate PIC4	protein coding gene	PF3D7_0308300
PF3D7_0308400	PF3D7_0308400.1	U4 spliceosomal RNA	ncRNA gene	PF3D7_0308400
PF3D7_0308500	PF3D7_0308500.1	activator of Hsp90 ATPase, putative	protein coding gene	PF3D7_0308500
PF3D7_0308600	PF3D7_0308600.1	pre-mRNA-processing factor 19, putative	protein coding gene	PF3D7_0308600
PF3D7_0308700	PF3D7_0308700.1	conserved protein, unknown function	protein coding gene	PF3D7_0308700
PF3D7_0308800	PF3D7_0308800.1	conserved protein, unknown function	protein coding gene	PF3D7_0308800
PF3D7_0308900	PF3D7_0308900.1	splicing factor 3B subunit 1, putative	protein coding gene	PF3D7_0308900
PF3D7_0309000	PF3D7_0309000.1	dual specificity protein phosphatase	protein coding gene	PF3D7_0309000
PF3D7_0309100	PF3D7_0309100.1	OMD protein, putative	protein coding gene	PF3D7_0309100
PF3D7_0309200	PF3D7_0309200.1	serine/threonine protein kinase ARK2, putative	protein coding gene	PF3D7_0309200
PF3D7_0309300	PF3D7_0309300.1	N2227-like protein, putative	protein coding gene	PF3D7_0309300
PF3D7_0309400	PF3D7_0309400.1	small nucleolar RNA Me18S-Um1356	ncRNA gene	PF3D7_0309400
PF3D7_0309500	PF3D7_0309500.1	asparagine synthetase [glutamine-hydrolyzing], putative	protein coding gene	PF3D7_0309500
PF3D7_0309600	PF3D7_0309600.1	60S acidic ribosomal protein P2	protein coding gene	PF3D7_0309600
PF3D7_0309700	PF3D7_0309700.1	SECIS-binding protein 2, putative	protein coding gene	PF3D7_0309700
PF3D7_0309800	PF3D7_0309800.1	YTH domain-containing protein 2	protein coding gene	PF3D7_0309800
PF3D7_0309900	PF3D7_0309900.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0309900
PF3D7_0310000	PF3D7_0310000.1	50S ribosomal protein L9, apicoplast, putative	protein coding gene	PF3D7_0310000
PF3D7_0310100	PF3D7_0310100.1	calcium-dependent protein kinase 3	protein coding gene	PF3D7_0310100
PF3D7_0310200	PF3D7_0310200.1	phd finger protein, putative	protein coding gene	PF3D7_0310200
PF3D7_0310300	PF3D7_0310300.1	phosphoglycerate mutase, putative	protein coding gene	PF3D7_0310300
PF3D7_0310400	PF3D7_0310400.1	parasite-infected erythrocyte surface protein	protein coding gene	PF3D7_0310400
PF3D7_0310500	PF3D7_0310500.1	ATP-dependent RNA helicase DHX57, putative	protein coding gene	PF3D7_0310500
PF3D7_0310600	PF3D7_0310600.1	eukaryotic translation initiation factor 3 subunit K, putative	protein coding gene	PF3D7_0310600
PF3D7_0310700	PF3D7_0310700.1	trafficking protein particle complex subunit 4, putative	protein coding gene	PF3D7_0310700
PF3D7_0310800	PF3D7_0310800.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0310800
PF3D7_0310900	PF3D7_0310900.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0310900
PF3D7_0311000	PF3D7_0311000.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0311000
PF3D7_0311100	PF3D7_0311100.1	pre-mRNA splicing factor, putative	protein coding gene	PF3D7_0311100
PF3D7_0311200	PF3D7_0311200.1	valine--tRNA ligase, putative	protein coding gene	PF3D7_0311200
PF3D7_0311300	PF3D7_0311300.1	phosphatidylinositol 3- and 4-kinase, putative	protein coding gene	PF3D7_0311300
PF3D7_0311400	PF3D7_0311400.1	kinase-related protein PKRP, putative	protein coding gene	PF3D7_0311400
PF3D7_0311500	PF3D7_0311500.1	conserved protein, unknown function	protein coding gene	PF3D7_0311500
PF3D7_0311600	PF3D7_0311600.1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST1, putative	protein coding gene	PF3D7_0311600
PF3D7_0311700	PF3D7_0311700.1	plasmepsin VI	protein coding gene	PF3D7_0311700
PF3D7_0311800	PF3D7_0311800.1	ATP synthase F0 subunit d-like protein, putative	protein coding gene	PF3D7_0311800
PF3D7_0311900	PF3D7_0311900.1	heptatricopeptide repeat-containing protein, putative	protein coding gene	PF3D7_0311900
PF3D7_0312000	PF3D7_0312000.1	HTH domain-containing protein, putative	protein coding gene	PF3D7_0312000
PF3D7_0312100	PF3D7_0312100.1	E3 ubiquitin-protein ligase	protein coding gene	PF3D7_0312100
PF3D7_0312200	PF3D7_0312200.1	tetratricopeptide repeat protein, putative	protein coding gene	PF3D7_0312200
PF3D7_0312300	PF3D7_0312300.1	26S proteasome regulatory subunit RPN12, putative	protein coding gene	PF3D7_0312300
PF3D7_0312400	PF3D7_0312400.1	glycogen synthase kinase-3 beta	protein coding gene	PF3D7_0312400
PF3D7_0312500	PF3D7_0312500.1	multidrug-resistant modulator MFR3	protein coding gene	PF3D7_0312500
PF3D7_0312800	PF3D7_0312800.1	60S ribosomal protein L26, putative	protein coding gene	PF3D7_0312800
PF3D7_0312900	PF3D7_0312900.1	hypothetical protein	protein coding gene	PF3D7_0312900
PF3D7_0313000	PF3D7_0313000.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0313000
PF3D7_0313100	PF3D7_0313100.1	ubiquitin-protein ligase, putative	protein coding gene	PF3D7_0313100
PF3D7_0313200	PF3D7_0313200.1	conserved protein, unknown function	protein coding gene	PF3D7_0313200
PF3D7_0313300	PF3D7_0313300.1	YGGT family protein, putative	protein coding gene	PF3D7_0313300
PF3D7_0313400	PF3D7_0313400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0313400
PF3D7_0313500	PF3D7_0313500.1	Ras-like G protein	protein coding gene	PF3D7_0313500
PF3D7_0313600	PF3D7_0313600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0313600
PF3D7_0313700	PF3D7_0313700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0313700
PF3D7_0313800	PF3D7_0313800.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0313800
PF3D7_0313900	PF3D7_0313900.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0313900
PF3D7_0314000	PF3D7_0314000.1	HSP20-like chaperone, putative	protein coding gene	PF3D7_0314000
PF3D7_0314100	PF3D7_0314100.1	vesicle transport v-SNARE protein, putative	protein coding gene	PF3D7_0314100
PF3D7_0314100	PF3D7_0314100.2	vesicle transport v-SNARE protein, putative	protein coding gene	PF3D7_0314100
PF3D7_0314200	PF3D7_0314200.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0314200
PF3D7_0314300	PF3D7_0314300.1	DER1-like protein	protein coding gene	PF3D7_0314300
PF3D7_0314400	PF3D7_0314400.1	serine/threonine protein phosphatase 6, putative	protein coding gene	PF3D7_0314400
PF3D7_0314500	PF3D7_0314500.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0314500
PF3D7_0314600	PF3D7_0314600.1	conserved protein, unknown function	protein coding gene	PF3D7_0314600
PF3D7_0314700	PF3D7_0314700.1	RING finger protein RNF1	protein coding gene	PF3D7_0314700
PF3D7_0314800	PF3D7_0314800.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0314800
PF3D7_0314900	PF3D7_0314900.1	conserved Plasmodium membrane protein, unknown function	protein coding gene	PF3D7_0314900
PF3D7_0315000	PF3D7_0315000.1	zinc finger protein, putative	protein coding gene	PF3D7_0315000
PF3D7_0315100	PF3D7_0315100.1	eukaryotic translation initiation factor 4E	protein coding gene	PF3D7_0315100
PF3D7_0315200	PF3D7_0315200.1	circumsporozoite- and TRAP-related protein	protein coding gene	PF3D7_0315200
PF3D7_0315300	PF3D7_0315300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0315300
PF3D7_0315400	PF3D7_0315400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0315400
PF3D7_0315500	PF3D7_0315500.1	ribosomal protein L47, mitochondrial, putative	protein coding gene	PF3D7_0315500
PF3D7_0315600	PF3D7_0315600.1	male development protein MD3, putative	protein coding gene	PF3D7_0315600
PF3D7_0315700	PF3D7_0315700.1	conserved Plasmodium membrane protein, unknown function	protein coding gene	PF3D7_0315700
PF3D7_0315800	PF3D7_0315800.1	zinc finger protein, putative	protein coding gene	PF3D7_0315800
PF3D7_0315900	PF3D7_0315900.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0315900
PF3D7_0316000	PF3D7_0316000.1	microneme associated antigen	protein coding gene	PF3D7_0316000
PF3D7_0316100	PF3D7_0316100.1	ribosomal protein L27, mitochondrial, putative	protein coding gene	PF3D7_0316100
PF3D7_0316200	PF3D7_0316200.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0316200
PF3D7_0316300	PF3D7_0316300.1	inorganic pyrophosphatase	protein coding gene	PF3D7_0316300
PF3D7_0316300	PF3D7_0316300.2	inorganic pyrophosphatase, putative	protein coding gene	PF3D7_0316300
PF3D7_0316400	PF3D7_0316400.1	CS domain-containing protein, putative	protein coding gene	PF3D7_0316400
PF3D7_0316500	PF3D7_0316500.1	kinetochore protein NUF2, putative	protein coding gene	PF3D7_0316500
PF3D7_0316600	PF3D7_0316600.1	formate-nitrite transporter	protein coding gene	PF3D7_0316600
PF3D7_0316700	PF3D7_0316700.1	protein YOP1, putative	protein coding gene	PF3D7_0316700
PF3D7_0316800	PF3D7_0316800.1	40S ribosomal protein S15A, putative	protein coding gene	PF3D7_0316800
PF3D7_0316900	PF3D7_0316900.1	E3 ubiquitin-protein ligase, putative	protein coding gene	PF3D7_0316900
PF3D7_0317000	PF3D7_0317000.1	proteasome subunit alpha type-3, putative	protein coding gene	PF3D7_0317000
PF3D7_0317100	PF3D7_0317100.1	6-cysteine protein B9	protein coding gene	PF3D7_0317100
PF3D7_0317200	PF3D7_0317200.1	cdc2-related protein kinase 4	protein coding gene	PF3D7_0317200
PF3D7_0317300	PF3D7_0317300.1	nucleoporin NUP335, putative	protein coding gene	PF3D7_0317300
PF3D7_0317400	PF3D7_0317400.1	DNA replication complex GINS protein, putative	protein coding gene	PF3D7_0317400
PF3D7_0317500	PF3D7_0317500.1	kinesin-5	protein coding gene	PF3D7_0317500
PF3D7_0317600	PF3D7_0317600.1	40S ribosomal protein S11, putative	protein coding gene	PF3D7_0317600
PF3D7_0317700	PF3D7_0317700.1	CPSF (cleavage and polyadenylation specific factor), subunit A, putative	protein coding gene	PF3D7_0317700
PF3D7_0317800	PF3D7_0317800.1	26S proteasome non-ATPase regulatory subunit 9, putative	protein coding gene	PF3D7_0317800
PF3D7_0317900	PF3D7_0317900.1	conserved protein, unknown function	protein coding gene	PF3D7_0317900
PF3D7_0318000	PF3D7_0318000.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0318000
PF3D7_0318100	PF3D7_0318100.1	stomatin-like protein, putative	protein coding gene	PF3D7_0318100
PF3D7_0318200	PF3D7_0318200.1	DNA-directed RNA polymerase II subunit RPB1	protein coding gene	PF3D7_0318200
PF3D7_0318300	PF3D7_0318300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0318300
PF3D7_0318400	PF3D7_0318400.1	coiled-coil domain-containing protein CCDC148/CCDC112, putative	protein coding gene	PF3D7_0318400
PF3D7_0318500	PF3D7_0318500.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0318500
PF3D7_0318600	PF3D7_0318600.1	cleavage and polyadenylation specificity factor, putative	protein coding gene	PF3D7_0318600
PF3D7_0318700	PF3D7_0318700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0318700
PF3D7_0318800	PF3D7_0318800.1	triosephosphate isomerase, putative	protein coding gene	PF3D7_0318800
PF3D7_0318900	PF3D7_0318900.1	conserved protein, unknown function	protein coding gene	PF3D7_0318900
PF3D7_0319000	PF3D7_0319000.1	P4-type ATPase ATP7, putative	protein coding gene	PF3D7_0319000
PF3D7_0319100	PF3D7_0319100.1	E3 ubiquitin-protein ligase RBX1, putative	protein coding gene	PF3D7_0319100
PF3D7_0319200	PF3D7_0319200.1	CCR4 domain-containing protein 4, putative	protein coding gene	PF3D7_0319200
PF3D7_0319300	PF3D7_0319300.1	ubiquitin-conjugating enzyme E2, putative	protein coding gene	PF3D7_0319300
PF3D7_0319400	PF3D7_0319400.1	kinesin-8X	protein coding gene	PF3D7_0319400
PF3D7_0319500	PF3D7_0319500.1	RNA-binding protein, putative	protein coding gene	PF3D7_0319500
PF3D7_0319600	PF3D7_0319600.1	elongation factor 1-delta, putative	protein coding gene	PF3D7_0319600
PF3D7_0319700	PF3D7_0319700.1	ABC transporter I family member 1, putative	protein coding gene	PF3D7_0319700
PF3D7_0319800	PF3D7_0319800.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0319800
PF3D7_0319900	PF3D7_0319900.1	conserved protein, unknown function	protein coding gene	PF3D7_0319900
PF3D7_0320000	PF3D7_0320000.1	protein phosphatase inhibitor 2	protein coding gene	PF3D7_0320000
PF3D7_0320100	PF3D7_0320100.1	protein transport protein SEC22	protein coding gene	PF3D7_0320100
PF3D7_0320200	PF3D7_0320200.1	CPW-WPC family protein	protein coding gene	PF3D7_0320200
PF3D7_0320300	PF3D7_0320300.1	T-complex protein 1 subunit epsilon	protein coding gene	PF3D7_0320300
PF3D7_0320400	PF3D7_0320400.1	oocyst capsule protein Cap380	protein coding gene	PF3D7_0320400
PF3D7_0320500	PF3D7_0320500.1	nicotinamidase, putative	protein coding gene	PF3D7_0320500
PF3D7_0320600	PF3D7_0320600.1	conserved protein, unknown function	protein coding gene	PF3D7_0320600
PF3D7_0320700	PF3D7_0320700.1	signal peptidase complex subunit 2	protein coding gene	PF3D7_0320700
PF3D7_0320800	PF3D7_0320800.1	ATP-dependent RNA helicase DDX6	protein coding gene	PF3D7_0320800
PF3D7_0320900	PF3D7_0320900.1	histone H2A.Z	protein coding gene	PF3D7_0320900
PF3D7_0321000	PF3D7_0321000.1	conserved protein, unknown function	protein coding gene	PF3D7_0321000
PF3D7_0321100	PF3D7_0321100.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0321100
PF3D7_0321200	PF3D7_0321200.1	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase, putative	protein coding gene	PF3D7_0321200
PF3D7_0321300	PF3D7_0321300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0321300
PF3D7_0321400	PF3D7_0321400.1	pseudo protein kinase 1, putative	protein coding gene	PF3D7_0321400
PF3D7_0321500	PF3D7_0321500.1	peptidase, putative	protein coding gene	PF3D7_0321500
PF3D7_0321600	PF3D7_0321600.1	ATP-dependent RNA helicase DDX42, putative	protein coding gene	PF3D7_0321600
PF3D7_0321700	PF3D7_0321700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0321700
PF3D7_0321800	PF3D7_0321800.1	WD repeat-containing protein, putative	protein coding gene	PF3D7_0321800
PF3D7_0321900	PF3D7_0321900.1	cyclic amine resistance locus protein	protein coding gene	PF3D7_0321900
PF3D7_0322000	PF3D7_0322000.1	peptidyl-prolyl cis-trans isomerase	protein coding gene	PF3D7_0322000
PF3D7_0322100	PF3D7_0322100.1	mRNA-capping enzyme subunit beta	protein coding gene	PF3D7_0322100
PF3D7_0322200	PF3D7_0322200.1	conserved protein, unknown function	protein coding gene	PF3D7_0322200
PF3D7_0322300	PF3D7_0322300.1	diacylglycerol O-acyltransferase	protein coding gene	PF3D7_0322300
PF3D7_0322400	PF3D7_0322400.1	regulator of initiation factor 2 (eIF2)	protein coding gene	PF3D7_0322400
PF3D7_0322500	PF3D7_0322500.1	iron-sulfur assembly protein, putative	protein coding gene	PF3D7_0322500
PF3D7_0322600	PF3D7_0322600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0322600
PF3D7_0322700	PF3D7_0322700.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0322700
PF3D7_0322800	PF3D7_0322800.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0322800
PF3D7_0322900	PF3D7_0322900.1	40S ribosomal protein S3A, putative	protein coding gene	PF3D7_0322900
PF3D7_0323000	PF3D7_0323000.1	translation machinery-associated protein 7, putative	protein coding gene	PF3D7_0323000
PF3D7_0323100	PF3D7_0323100.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0323100
PF3D7_0323200	PF3D7_0323200.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0323200
PF3D7_0323300	PF3D7_0323300.1	conserved protein, unknown function	protein coding gene	PF3D7_0323300
PF3D7_0323400	PF3D7_0323400.1	Rh5 interacting protein	protein coding gene	PF3D7_0323400
PF3D7_0323500	PF3D7_0323500.1	survival motor neuron-like protein	protein coding gene	PF3D7_0323500
PF3D7_0323600	PF3D7_0323600.1	BSD domain-containing protein, putative	protein coding gene	PF3D7_0323600
PF3D7_0323700	PF3D7_0323700.1	U4/U6.U5 tri-snRNP-associated protein 1, putative	protein coding gene	PF3D7_0323700
PF3D7_0323800	PF3D7_0323800.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0323800
PF3D7_0323900	PF3D7_0323900.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	pseudogene	PF3D7_0323900
PF3D7_0324000	PF3D7_0324000.1	exported protein family 1	protein coding gene	PF3D7_0324000
PF3D7_0324100	PF3D7_0324100.1	Pfmc-2TM Maurer's cleft two transmembrane protein	protein coding gene	PF3D7_0324100
PF3D7_0324200	PF3D7_0324200.1	exported protein family 3	protein coding gene	PF3D7_0324200
PF3D7_0324300	PF3D7_0324300.1	exported protein family 4	protein coding gene	PF3D7_0324300
PF3D7_0324400	PF3D7_0324400.1	rifin	protein coding gene	PF3D7_0324400
PF3D7_0324500	PF3D7_0324500.1	rifin	protein coding gene	PF3D7_0324500
PF3D7_0324600	PF3D7_0324600.1	stevor	protein coding gene	PF3D7_0324600
PF3D7_0324700	PF3D7_0324700.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	pseudogene	PF3D7_0324700
PF3D7_0324800	PF3D7_0324800.1	rifin	protein coding gene	PF3D7_0324800
PF3D7_0324900	PF3D7_0324900.1	erythrocyte membrane protein 1, PfEMP1	protein coding gene	PF3D7_0324900
PF3D7_0400100	PF3D7_0400100.1	erythrocyte membrane protein 1, PfEMP1	protein coding gene	PF3D7_0400100
PF3D7_0400200	PF3D7_0400200.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	pseudogene	PF3D7_0400200
PF3D7_0400300	PF3D7_0400300.1	rifin	protein coding gene	PF3D7_0400300
PF3D7_0400400	PF3D7_0400400.1	erythrocyte membrane protein 1, PfEMP1	protein coding gene	PF3D7_0400400
PF3D7_0400500	PF3D7_0400500.1	rifin	protein coding gene	PF3D7_0400500
PF3D7_0400600	PF3D7_0400600.1	erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene	pseudogene	PF3D7_0400600
PF3D7_0400700	PF3D7_0400700.1	rifin	protein coding gene	PF3D7_0400700
PF3D7_0400800	PF3D7_0400800.1	stevor	protein coding gene	PF3D7_0400800
PF3D7_0400900	PF3D7_0400900.1	rifin	protein coding gene	PF3D7_0400900
PF3D7_0401000	PF3D7_0401000.1	rifin	protein coding gene	PF3D7_0401000
PF3D7_0401100	PF3D7_0401100.1	Plasmodium exported protein, unknown function, fragment	protein coding gene	PF3D7_0401100
PF3D7_0401200	PF3D7_0401200.1	rifin	protein coding gene	PF3D7_0401200
PF3D7_0401300	PF3D7_0401300.1	rifin	protein coding gene	PF3D7_0401300
PF3D7_0401400	PF3D7_0401400.1	rifin	protein coding gene	PF3D7_0401400
PF3D7_0401500	PF3D7_0401500.1	stevor, pseudogene	pseudogene	PF3D7_0401500
PF3D7_0401600	PF3D7_0401600.1	rifin	protein coding gene	PF3D7_0401600
PF3D7_0401600	PF3D7_0401600.2	rifin	protein coding gene	PF3D7_0401600
PF3D7_0401700	PF3D7_0401700.1	Plasmodium exported protein, unknown function, pseudogene	pseudogene	PF3D7_0401700
PF3D7_0401800	PF3D7_0401800.1	Plasmodium exported protein (PHISTb), unknown function	protein coding gene	PF3D7_0401800
PF3D7_0401900	PF3D7_0401900.1	acyl-CoA synthetase	protein coding gene	PF3D7_0401900
PF3D7_0402000	PF3D7_0402000.1	Plasmodium exported protein (PHISTa), unknown function	protein coding gene	PF3D7_0402000
PF3D7_0402100	PF3D7_0402100.1	Plasmodium exported protein (PHISTb), unknown function	protein coding gene	PF3D7_0402100
PF3D7_0402200	PF3D7_0402200.1	surface-associated interspersed protein 4.1 (SURFIN 4.1), pseudogene	pseudogene	PF3D7_0402200
PF3D7_0402300	PF3D7_0402300.1	reticulocyte binding protein homologue 1	protein coding gene	PF3D7_0402300
PF3D7_0402400	PF3D7_0402400.1	Plasmodium exported protein, unknown function	protein coding gene	PF3D7_0402400
PF3D7_0402500	PF3D7_0402500.1	rifin, pseudogene	pseudogene	PF3D7_0402500
PF3D7_0402600	PF3D7_0402600.1	stevor	protein coding gene	PF3D7_0402600
PF3D7_0402700	PF3D7_0402700.1	rifin, pseudogene	pseudogene	PF3D7_0402700
PF3D7_0402800	PF3D7_0402800.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	pseudogene	PF3D7_0402800
PF3D7_0402900	PF3D7_0402900.1	probable protein, unknown function	protein coding gene	PF3D7_0402900
PF3D7_0403100	PF3D7_0403100.1	regulator of chromosome condensation, putative	protein coding gene	PF3D7_0403100
PF3D7_0403200	PF3D7_0403200.1	pre-mRNA splicing factor, putative	protein coding gene	PF3D7_0403200
PF3D7_0403300	PF3D7_0403300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0403300
PF3D7_0403400	PF3D7_0403400.1	zinc finger protein, putative	protein coding gene	PF3D7_0403400
PF3D7_0403500	PF3D7_0403500.1	ubiquitin-specific protease	protein coding gene	PF3D7_0403500
PF3D7_0403600	PF3D7_0403600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0403600
PF3D7_0403700	PF3D7_0403700.1	pre-mRNA-splicing factor CLF1, putative	protein coding gene	PF3D7_0403700
PF3D7_0403800	PF3D7_0403800.1	alpha/beta hydrolase, putative	protein coding gene	PF3D7_0403800
PF3D7_0403900	PF3D7_0403900.1	SET domain protein, putative	protein coding gene	PF3D7_0403900
PF3D7_0404000	PF3D7_0404000.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0404000
PF3D7_0404100	PF3D7_0404100.1	AP2 domain transcription factor AP2-SP2, putative	protein coding gene	PF3D7_0404100
PF3D7_0404200	PF3D7_0404200.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0404200
PF3D7_0404300	PF3D7_0404300.1	Ran-binding protein, putative	protein coding gene	PF3D7_0404300
PF3D7_0404400	PF3D7_0404400.1	6-cysteine protein P36	protein coding gene	PF3D7_0404400
PF3D7_0404500	PF3D7_0404500.1	6-cysteine protein P52	protein coding gene	PF3D7_0404500
PF3D7_0404600	PF3D7_0404600.1	conserved Plasmodium membrane protein, unknown function	protein coding gene	PF3D7_0404600
PF3D7_0404700	PF3D7_0404700.1	dipeptidyl aminopeptidase 3	protein coding gene	PF3D7_0404700
PF3D7_0404800	PF3D7_0404800.1	sporozoite-specific protein S10, putative	protein coding gene	PF3D7_0404800
PF3D7_0404900	PF3D7_0404900.1	6-cysteine protein P41	protein coding gene	PF3D7_0404900
PF3D7_0405000	PF3D7_0405000.1	ATP-dependent RNA helicase DDX51, putative	protein coding gene	PF3D7_0405000
PF3D7_0405100	PF3D7_0405100.1	protein transport protein Sec24B, putative	protein coding gene	PF3D7_0405100
PF3D7_0405200	PF3D7_0405200.1	protein CERLI2	protein coding gene	PF3D7_0405200
PF3D7_0405300	PF3D7_0405300.1	liver specific protein 2, putative	protein coding gene	PF3D7_0405300
PF3D7_0405400	PF3D7_0405400.1	pre-mRNA-processing-splicing factor 8, putative	protein coding gene	PF3D7_0405400
PF3D7_0405500	PF3D7_0405500.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0405500
PF3D7_0405600	PF3D7_0405600.1	TMEM33 domain-containing protein, putative	protein coding gene	PF3D7_0405600
PF3D7_0405700	PF3D7_0405700.1	lysine decarboxylase, putative	protein coding gene	PF3D7_0405700
PF3D7_0405800	PF3D7_0405800.1	conserved protein, unknown function	protein coding gene	PF3D7_0405800
PF3D7_0405900	PF3D7_0405900.1	apical sushi protein	protein coding gene	PF3D7_0405900
PF3D7_0406000	PF3D7_0406000.1	conserved protein, unknown function	protein coding gene	PF3D7_0406000
PF3D7_0406100	PF3D7_0406100.1	V-type proton ATPase subunit B	protein coding gene	PF3D7_0406100
PF3D7_0406200	PF3D7_0406200.1	parasitophorous vacuole membrane protein S16	protein coding gene	PF3D7_0406200
PF3D7_0406400	PF3D7_0406400.1	cytosolic glyoxalase II	protein coding gene	PF3D7_0406400
PF3D7_0406500	PF3D7_0406500.1	NYN domain-containing protein, putative	protein coding gene	PF3D7_0406500
PF3D7_0406600	PF3D7_0406600.1	conserved protein, unknown function	protein coding gene	PF3D7_0406600
PF3D7_0406700	PF3D7_0406700.1	KLRAQ domain-containing protein, putative	protein coding gene	PF3D7_0406700
PF3D7_0406800	PF3D7_0406800.1	ribosomal protein L25, putative	protein coding gene	PF3D7_0406800
PF3D7_0406900	PF3D7_0406900.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0406900
PF3D7_0407000	PF3D7_0407000.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0407000
PF3D7_0407100	PF3D7_0407100.1	methyltransferase, putative	protein coding gene	PF3D7_0407100
PF3D7_0407200	PF3D7_0407200.1	peptidyl-tRNA hydrolase 2, putative	protein coding gene	PF3D7_0407200
PF3D7_0407300	PF3D7_0407300.1	transcription factor, putative	protein coding gene	PF3D7_0407300
PF3D7_0407400	PF3D7_0407400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0407400
PF3D7_0407500	PF3D7_0407500.1	mitochondrial carrier protein, putative	protein coding gene	PF3D7_0407500
PF3D7_0407600	PF3D7_0407600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0407600
PF3D7_0407700	PF3D7_0407700.1	TH1 domain-containing protein, putative	protein coding gene	PF3D7_0407700
PF3D7_0407800	PF3D7_0407800.1	protein CINCH	protein coding gene	PF3D7_0407800
PF3D7_0407900	PF3D7_0407900.1	AAA family ATPase, putative	protein coding gene	PF3D7_0407900
PF3D7_0408000	PF3D7_0408000.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0408000
PF3D7_0408100	PF3D7_0408100.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0408100
PF3D7_0408200	PF3D7_0408200.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0408200
PF3D7_0408300	PF3D7_0408300.1	zinc finger Ran-binding domain-containing protein 2, putative	protein coding gene	PF3D7_0408300
PF3D7_0408400	PF3D7_0408400.1	conserved protein, unknown function	protein coding gene	PF3D7_0408400
PF3D7_0408500	PF3D7_0408500.1	flap endonuclease 1	protein coding gene	PF3D7_0408500
PF3D7_0408600	PF3D7_0408600.1	sporozoite invasion-associated protein 1	protein coding gene	PF3D7_0408600
PF3D7_0408700	PF3D7_0408700.1	perforin-like protein 1	protein coding gene	PF3D7_0408700
