Gene ID	source_id	Product Description	Gene Type	Input ID
PF3D7_0105200	PF3D7_0105200.1	RAP protein RAP1	protein coding gene	PF3D7_0105200
PF3D7_0105300	PF3D7_0105300.1	cyclase-associated protein	protein coding gene	PF3D7_0105300
PF3D7_0105400	PF3D7_0105400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0105400
PF3D7_0105400	PF3D7_0105400.2	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0105400
PF3D7_0105500	PF3D7_0105500.1	conserved protein, unknown function	protein coding gene	PF3D7_0105500
PF3D7_0105600	PF3D7_0105600.1	FtsJ-like methyltransferase, putative	protein coding gene	PF3D7_0105600
PF3D7_0105700	PF3D7_0105700.1	asparagine-rich antigen Pfa35-2	protein coding gene	PF3D7_0105700
PF3D7_0105800	PF3D7_0105800.1	cyclin-dependent kinases regulatory subunit, putative	protein coding gene	PF3D7_0105800
PF3D7_0105900	PF3D7_0105900.1	3'-5' exonuclease, putative	protein coding gene	PF3D7_0105900
PF3D7_0106000	PF3D7_0106000.1	conserved protein, unknown function	protein coding gene	PF3D7_0106000
PF3D7_0106100	PF3D7_0106100.1	V-type proton ATPase subunit C, putative	protein coding gene	PF3D7_0106100
PF3D7_0106200	PF3D7_0106200.1	EF hand domain-containing protein, putative	protein coding gene	PF3D7_0106200
PF3D7_0106300	PF3D7_0106300.1	calcium-transporting ATPase	protein coding gene	PF3D7_0106300
PF3D7_0106400	PF3D7_0106400.1	pre-rRNA-processing protein TSR2, putative	protein coding gene	PF3D7_0106400
PF3D7_0106500	PF3D7_0106500.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0106500
PF3D7_0106600	PF3D7_0106600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0106600
PF3D7_0106700	PF3D7_0106700.1	small ribosomal subunit assembling AARP2 protein	protein coding gene	PF3D7_0106700
PF3D7_0106800	PF3D7_0106800.1	ras-related protein Rab-5C	protein coding gene	PF3D7_0106800
PF3D7_0106900	PF3D7_0106900.1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative	protein coding gene	PF3D7_0106900
PF3D7_0107000	PF3D7_0107000.1	centrin-1	protein coding gene	PF3D7_0107000
PF3D7_0107100	PF3D7_0107100.1	conserved protein, unknown function	protein coding gene	PF3D7_0107100
PF3D7_0107200	PF3D7_0107200.1	CCR4 domain-containing protein 3, putative	protein coding gene	PF3D7_0107200
PF3D7_0107300	PF3D7_0107300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0107300
PF3D7_0107400	PF3D7_0107400.1	ATP synthase-associated protein, putative	protein coding gene	PF3D7_0107400
PF3D7_0107500	PF3D7_0107500.1	Niemann-Pick type C1-related protein	protein coding gene	PF3D7_0107500
PF3D7_0107600	PF3D7_0107600.1	eukaryotic translation initiation factor 2-alpha kinase 2, putative	protein coding gene	PF3D7_0107600
PF3D7_0107700	PF3D7_0107700.1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative	protein coding gene	PF3D7_0107700
PF3D7_0107800	PF3D7_0107800.1	double-strand break repair protein MRE11	protein coding gene	PF3D7_0107800
PF3D7_0107900	PF3D7_0107900.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0107900
PF3D7_0108000	PF3D7_0108000.1	proteasome subunit beta type-3, putative	protein coding gene	PF3D7_0108000
PF3D7_0108100	PF3D7_0108100.1	conserved protein, unknown function	protein coding gene	PF3D7_0108100
PF3D7_0108300	PF3D7_0108300.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0108300
PF3D7_0108400	PF3D7_0108400.1	mitochondrial carrier protein, putative	protein coding gene	PF3D7_0108400
PF3D7_0108400	PF3D7_0108400.2	mitochondrial carrier protein, putative	protein coding gene	PF3D7_0108400
PF3D7_0108500	PF3D7_0108500.1	ELM2 domain-containing protein, putative	protein coding gene	PF3D7_0108500
PF3D7_0108600	PF3D7_0108600.1	DnaJ domain-containing protein, putative	protein coding gene	PF3D7_0108600
PF3D7_0108700	PF3D7_0108700.1	secreted ookinete protein, putative	protein coding gene	PF3D7_0108700
PF3D7_0108800	PF3D7_0108800.1	mitochondrial carrier protein, putative	protein coding gene	PF3D7_0108800
PF3D7_0108900	PF3D7_0108900.1	non-coding RNA	ncRNA gene	PF3D7_0108900
PF3D7_0109000	PF3D7_0109000.1	photosensitized INA-labeled protein PHIL1	protein coding gene	PF3D7_0109000
PF3D7_0109100	PF3D7_0109100.1	LCCL domain-containing protein	protein coding gene	PF3D7_0109100
PF3D7_0109200	PF3D7_0109200.1	cleavage and polyadenylation specificity factor subunit 5, putative	protein coding gene	PF3D7_0109200
PF3D7_0109300	PF3D7_0109300.1	elongation of fatty acids protein, putative	protein coding gene	PF3D7_0109300
PF3D7_0109400	PF3D7_0109400.1	tubulin-specific chaperone a, putative	protein coding gene	PF3D7_0109400
PF3D7_0109500	PF3D7_0109500.1	N-acetyltransferase, GNAT family, putative	protein coding gene	PF3D7_0109500
PF3D7_0109600	PF3D7_0109600.1	cold-shock protein, putative	protein coding gene	PF3D7_0109600
PF3D7_0109700	PF3D7_0109700.1	rRNA biogenesis protein RRP36, putative	protein coding gene	PF3D7_0109700
PF3D7_0109800	PF3D7_0109800.1	phenylalanine--tRNA ligase alpha subunit	protein coding gene	PF3D7_0109800
PF3D7_0109850	PF3D7_0109850.1	phosphatidate cytidylyltransferase, putative	protein coding gene	PF3D7_0109850
PF3D7_0109950	PF3D7_0109950.1	respiratory chain complex 2 associated protein 3	protein coding gene	PF3D7_0109950
PF3D7_0110000	PF3D7_0110000.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0110000
PF3D7_0110100	PF3D7_0110100.1	selenocysteine-specific elongation factor, putative	protein coding gene	PF3D7_0110100
PF3D7_0110200	PF3D7_0110200.1	FAD-linked sulfhydryl oxidase ERV1, putative	protein coding gene	PF3D7_0110200
PF3D7_0110300	PF3D7_0110300.1	Plasmodium RNA of unknown function RUF5	ncRNA gene	PF3D7_0110300
PF3D7_0110400	PF3D7_0110400.1	DNA-directed RNA polymerase II subunit RPB9, putative	protein coding gene	PF3D7_0110400
PF3D7_0110500	PF3D7_0110500.1	bromodomain protein 3, putative	protein coding gene	PF3D7_0110500
PF3D7_0110600	PF3D7_0110600.1	phosphatidylinositol-4-phosphate 5-kinase	protein coding gene	PF3D7_0110600
PF3D7_0110700	PF3D7_0110700.1	chromatin assembly factor 1 subunit C, putative	protein coding gene	PF3D7_0110700
PF3D7_0110800	PF3D7_0110800.1	transcription initiation factor TFIIB, putative	protein coding gene	PF3D7_0110800
PF3D7_0110900	PF3D7_0110900.1	adenylate kinase-like protein 1	protein coding gene	PF3D7_0110900
PF3D7_0111000	PF3D7_0111000.1	kinesin-8B, putative	protein coding gene	PF3D7_0111000
PF3D7_0111200	PF3D7_0111200.1	conserved protein, unknown function	protein coding gene	PF3D7_0111200
PF3D7_0111300	PF3D7_0111300.1	P-loop containing nucleoside triphosphate hydrolase, putative	protein coding gene	PF3D7_0111300
PF3D7_0111400	PF3D7_0111400.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0111400
PF3D7_0111500	PF3D7_0111500.1	UMP-CMP kinase, putative	protein coding gene	PF3D7_0111500
PF3D7_0111600	PF3D7_0111600.1	conserved Plasmodium protein, unknown function	protein coding gene	PF3D7_0111600
PF3D7_0111700	PF3D7_0111700.1	conserved protein, unknown function	protein coding gene	PF3D7_0111700
PF3D7_0111800	PF3D7_0111800.1	eukaryotic translation initiation factor 4E, putative	protein coding gene	PF3D7_0111800
PF3D7_0111900	PF3D7_0111900.1	mitochondrial distribution and morphology protein, putative	protein coding gene	PF3D7_0111900
PF3D7_0112000	PF3D7_0112000.1	TatD-like deoxyribonuclease	protein coding gene	PF3D7_0112000
PF3D7_0112100	PF3D7_0112100.1	PIMMS1 protein	protein coding gene	PF3D7_0112100
PF3D7_0112200	PF3D7_0112200.1	multidrug resistance-associated protein 1	protein coding gene	PF3D7_0112200
PF3D7_0112800	PF3D7_0112800.1	Plasmodium exported protein (hyp11), unknown function	protein coding gene	PF3D7_0112800
PF3D7_0112900	PF3D7_0112900.1	Plasmodium exported protein, unknown function	protein coding gene	PF3D7_0112900
PF3D7_0113000	PF3D7_0113000.1	glutamic acid-rich protein GARP	protein coding gene	PF3D7_0113000
PF3D7_0113100	PF3D7_0113100.1	surface-associated interspersed protein 1.1 (SURFIN 1.1)	protein coding gene	PF3D7_0113100
PF3D7_0113200	PF3D7_0113200.1	Plasmodium exported protein, unknown function	protein coding gene	PF3D7_0113200
PF3D7_0113300	PF3D7_0113300.1	Plasmodium exported protein (hyp1), unknown function	protein coding gene	PF3D7_0113300
PF3D7_0113400	PF3D7_0113400.1	Plasmodium exported protein, unknown function	protein coding gene	PF3D7_0113400
PF3D7_0113600	PF3D7_0113600.1	surface-associated interspersed protein 1.2 (SURFIN 1.2), pseudogene	pseudogene	PF3D7_0113600
PF3D7_0113700	PF3D7_0113700.1	heat shock protein 40, type II	protein coding gene	PF3D7_0113700
PF3D7_0113800	PF3D7_0113800.1	DBL containing protein, unknown function	protein coding gene	PF3D7_0113800
PF3D7_0113900	PF3D7_0113900.1	CX3CL1-binding protein 1	protein coding gene	PF3D7_0113900
PF3D7_0114000	PF3D7_0114000.1	exported protein family 1	protein coding gene	PF3D7_0114000
PF3D7_0114100	PF3D7_0114100.1	Pfmc-2TM Maurer's cleft two transmembrane protein	protein coding gene	PF3D7_0114100
PF3D7_0114200	PF3D7_0114200.1	exported protein family 3	protein coding gene	PF3D7_0114200
PF3D7_0114300	PF3D7_0114300.1	exported protein family 4, pseudogene	pseudogene	PF3D7_0114300
PF3D7_0114400	PF3D7_0114400.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	pseudogene	PF3D7_0114400
PF3D7_0114500	PF3D7_0114500.1	Plasmodium exported protein (hyp10), unknown function	protein coding gene	PF3D7_0114500
PF3D7_0114600	PF3D7_0114600.1	stevor, pseudogene	pseudogene	PF3D7_0114600
PF3D7_0114700	PF3D7_0114700.1	rifin	protein coding gene	PF3D7_0114700
PF3D7_0114750	PF3D7_0114750.1	Plasmodium exported protein, unknown function, fragment	protein coding gene	PF3D7_0114750
PF3D7_0114800	PF3D7_0114800.1	Plasmodium exported protein (hyp7), unknown function	protein coding gene	PF3D7_0114800
PF3D7_0114900	PF3D7_0114900.1	Plasmodium exported protein, unknown function, pseudogene	pseudogene	PF3D7_0114900
PF3D7_0115000	PF3D7_0115000.1	surface-associated interspersed protein 1.3 (SURFIN 1.3)	protein coding gene	PF3D7_0115000
PF3D7_0115050	PF3D7_0115050.1	H/ACA snoRNA	ncRNA gene	PF3D7_0115050
PF3D7_0115100	PF3D7_0115100.1	Plasmodium exported protein (PHISTa), unknown function	protein coding gene	PF3D7_0115100
PF3D7_0115150	PF3D7_0115150.1	Plasmodium exported protein, unknown function, pseudogene	pseudogene	PF3D7_0115150
PF3D7_0115200	PF3D7_0115200.1	rifin	protein coding gene	PF3D7_0115200
PF3D7_0115300	PF3D7_0115300.1	rifin	protein coding gene	PF3D7_0115300
PF3D7_0115400	PF3D7_0115400.1	stevor	protein coding gene	PF3D7_0115400
PF3D7_0115500	PF3D7_0115500.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	pseudogene	PF3D7_0115500
PF3D7_0115600	PF3D7_0115600.1	rifin	protein coding gene	PF3D7_0115600
PF3D7_0115700	PF3D7_0115700.1	erythrocyte membrane protein 1, PfEMP1	protein coding gene	PF3D7_0115700
PF3D7_0200100	PF3D7_0200100.1	erythrocyte membrane protein 1, PfEMP1	protein coding gene	PF3D7_0200100
PF3D7_0200200	PF3D7_0200200.1	rifin	protein coding gene	PF3D7_0200200
PF3D7_0200300	PF3D7_0200300.1	erythrocyte membrane protein 1 (PfEMP1), exon 2	protein coding gene	PF3D7_0200300
PF3D7_0200400	PF3D7_0200400.1	stevor	protein coding gene	PF3D7_0200400
PF3D7_0200500	PF3D7_0200500.1	rifin	protein coding gene	PF3D7_0200500
PF3D7_0200600	PF3D7_0200600.1	rifin	protein coding gene	PF3D7_0200600
PF3D7_0200700	PF3D7_0200700.1	rifin	protein coding gene	PF3D7_0200700
PF3D7_0200800	PF3D7_0200800.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	pseudogene	PF3D7_0200800
PF3D7_0200900	PF3D7_0200900.1	stevor, pseudogene	pseudogene	PF3D7_0200900
PF3D7_0201000	PF3D7_0201000.1	rifin	protein coding gene	PF3D7_0201000
PF3D7_0201100	PF3D7_0201100.1	Plasmodium exported protein, unknown function, fragment	protein coding gene	PF3D7_0201100
PF3D7_0201200	PF3D7_0201200.1	rifin	protein coding gene	PF3D7_0201200
PF3D7_0201300	PF3D7_0201300.1	stevor	protein coding gene	PF3D7_0201300
PF3D7_0201400	PF3D7_0201400.1	Plasmodium exported protein (hyp10), unknown function	protein coding gene	PF3D7_0201400
PF3D7_0201500	PF3D7_0201500.1	Plasmodium exported protein (hyp9), unknown function	protein coding gene	PF3D7_0201500
PF3D7_0201600	PF3D7_0201600.1	PHISTb domain-containing RESA-like protein 1	protein coding gene	PF3D7_0201600
PF3D7_0201700	PF3D7_0201700.1	DnaJ protein, putative	protein coding gene	PF3D7_0201700
PF3D7_0201800	PF3D7_0201800.1	knob associated heat shock protein 40	protein coding gene	PF3D7_0201800
PF3D7_0201900	PF3D7_0201900.1	erythrocyte membrane protein 3	protein coding gene	PF3D7_0201900
PF3D7_0202000	PF3D7_0202000.1	knob-associated histidine-rich protein	protein coding gene	PF3D7_0202000
PF3D7_0202100	PF3D7_0202100.1	liver stage associated protein 2	protein coding gene	PF3D7_0202100
PF3D7_0202200	PF3D7_0202200.1	EMP1-trafficking protein	protein coding gene	PF3D7_0202200
